"","s.Ambient","s.Low","s.High","index","stat","p.value"
"Ephydridae",0,1,1,6,0.732685919758956,0.001
"Corduliidae_Oxygastra_curtissi",1,1,0,4,0.62156357403148,0.002
"Vellidae",1,0,0,1,0.460360029693293,0.004
"Psychodidae",0,1,0,2,0.408248290463863,0.005
"Baetidae",1,1,0,4,0.682303906206808,0.005
"Coenagrionidae",1,1,0,4,0.439297685106979,0.011
"Ceratopogonidae",1,1,0,4,0.597802409551974,0.021
"Hydrometridae",0,1,0,2,0.469570084315029,0.024
"Aeshnidae",0,1,0,2,0.413505168021556,0.03
"Notonectidae",1,1,0,4,0.403552273562972,0.098
"Mesoveliidae",0,1,0,2,0.342444821075399,0.107
"Elmidae",0,1,0,2,0.302136251654051,0.137
"Pleidae",1,1,0,4,0.376497452456115,0.157
"Araneae",0,1,0,2,0.251765923248306,0.166
"Gomphidae",0,1,0,2,0.258515588102975,0.172
"Hydraenidae",1,1,0,4,0.418504786795691,0.185
"Viviparidae",0,0,1,3,0.25,0.207
"Tabanidae",0,1,0,2,0.204124145231932,0.255
"Lestidae",0,1,0,2,0.204124145231932,0.263
"Chrysomelidae",0,1,0,2,0.204124145231932,0.274
"Acroloxidae",0,1,0,2,0.204124145231932,0.275
"Corixidae_Corixa",1,1,0,4,0.387364534829048,0.283
"Libellulidae",1,1,0,4,0.279956509883976,0.372
"Physidae_Physa",1,0,0,1,0.315414492856454,0.378
"NEMATODA",1,0,1,5,0.277350098112615,0.422
"Limoniidae",1,1,0,4,0.229415733870562,0.486
"Entonobrymorpha",0,1,1,6,0.188982236504614,0.494
"Syrphydae",1,0,1,5,0.248069469178417,0.558
"Dryopidae_Dryops",0,1,0,2,0.219026216098653,0.615
"PSEUDOSCORPIONIDA",0,0,1,3,0.176776695296637,0.621
"Noteridae",0,0,1,3,0.176776695296637,0.645
"Curculionidae",1,0,1,5,0.21483446221183,0.764
"Dolichopodidae",1,0,0,1,0.174077655955698,1
"Hygrobiidae_Hygrobia",1,0,0,1,0.174077655955698,1
"Orthoptera_Caelifera",1,0,1,5,0.175411603861406,1
"Platycnemididae",1,0,0,1,0.174077655955698,1
"GASTROPODA",1,0,1,5,0.175411603861406,1
"Chironomidae",1,1,1,7,0.800280849578601,NA
"Culicidae_Culex",1,1,1,7,0.793229779538103,NA
"Stratiomyidae",1,1,1,7,0.497183076176126,NA
"OLIGOCHAETA",1,1,1,7,0.449719013397517,NA
"Dytiscidae_Agabus",1,1,1,7,0.590181842097478,NA
"Haliplidae_Bynchus",1,1,1,7,0.437048322219702,NA
"Hydrophilidae_Berosus",1,1,1,7,0.485752052162186,NA
"Aphidae",1,1,1,7,0.686957140118327,NA
"Gerridae_Gerris",1,1,1,7,0.259645393444749,NA
"Planorbidae_Ferrisa",1,1,1,7,0.299812675598345,NA
"LEPIDOPTERA",1,1,1,7,0.183597018408631,NA
"ACARI",1,1,1,7,0.462042363931508,NA
